"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"RADIONUKLIDE IN GRUNDWÄSSERN, GESTEINEN UND BACHSEDIMENTEN ÖSTERREICHS","RADIONUKLIDE IN GRUNDWÄSSERN, GESTEINEN UND BACHSEDIMENTEN ÖSTERREICHS","48.090573,13.21491","-","https://www.geigerzaehlerforum.de/index.php/topic,2459.0.html",""
"Radiumbrunnen Baden-Baden.","Radiumbrunnen Baden-Baden.","48.768599,8.254253","-","https://www.geigerzaehlerforum.de/index.php/topic,1739.0.html",""
"Radium-Quelle Břetislav bei Plesna (Radonquelle)","Radium-Quelle Břetislav bei Plesna (Radonquelle)","50.206349732743156,12.340415965606706","0.14 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2517.0.html",""
"Radiumquelle Crinitzberg","Radiumquelle Crinitzberg","50.570441,12.504933","","https://www.geigerzaehlerforum.de/index.php/topic,11.0.html",""
"Radiumquelle Hartmannsdorf","Radiumquelle Hartmannsdorf","50.593299,12.547904","","https://www.geigerzaehlerforum.de/index.php/topic,368.0.html",""
"Radiumquelle Rautenkranz","Radiumquelle Rautenkranz","50.457151,12.489735","","https://www.geigerzaehlerforum.de/index.php/topic,112.0.html",""
"Radiumquelle Rodaborn","Radiumquelle Rodaborn","50.759533,11.870750","","https://www.geigerzaehlerforum.de/index.php/topic,820.0.html",""
"Radiumquelle Stecklenberg/Harz","Radiumquelle Stecklenberg/Harz","51.729088,11.089737","","https://www.geigerzaehlerforum.de/index.php/topic,396.0.html",""
"Radiumquelle Steinbachtal bei Klingenthal","Radiumquelle Steinbachtal bei Klingenthal","50.394167,12.482028","0.18 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,31.0.html","text"
"Radiumquelle Thierberg","Radiumquelle Thierberg","50.442283,12.438728","0.42 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,12.0.html","text"
"Radiumquelle Wildbach im Poppenwald","Radiumquelle Wildbach im Poppenwald","50.63115,12.669761","","https://www.geigerzaehlerforum.de/index.php/topic,402.0.html",""
